agreement_from,end_date,title,entity_code,person_indication,agreement,person,amount,other_party_of_agreement,start_date,description
Rašytinė,,AB LYTAGRA,,Deklaruojantysis,Paskola (gauta),JONAS JURGELIŪNAS,154880,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-02,PINIGAI
Rašytinė,,AB SWEDBANKAS,,Deklaruojantysis,Paskola (gauta),JONAS JURGELIŪNAS,317573,"Juridiniai asmenys, registruoti Lietuvoje",2009-08-03,PINIGAI
Rašytinė,2011-12-01,"A.NEŠČIOKO IĮ ""EGLINTA""",,Deklaruojantysis,Pardavimas,ALGIRDAS KLIMAITIS,23528,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-28,MEDIENOS PARDAVIMAS
Rašytinė,,"""SWEDBANK"" AB",,Deklaruojantysis,Paskola (gauta),ALGIRDAS KLIMAITIS,40000,"Juridiniai asmenys, registruoti Lietuvoje",2008-05-13,PINIGAI
Rašytinė,2012-06-15,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,REGINA LUKOŠEVIČIENĖ,14900,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-15,TERMINUOTASIS INDĖLIS
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Paskola (gauta),VIDMANTAS ŽILIUS,90000,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-06,PASKOLA BŪSTUI ĮSIGYTI
Notarinė,2011-09-30,VIKTORIJA NAVICKAITĖ,,Deklaruojantysis ir sutuoktinis,Pirkimas,VIDMANTAS ŽILIUS,171000,"Fiziniai asmenys, registruoti Lietuvoje",2011-08-30,ĮSIGYTAS BUTAS
Rašytinė,,ADVOKATŲ KONTORA EKOVIS,,Deklaruojantysis,Paslauga,DOBILAS KURTINAITIS,16000,"Fiziniai asmenys, registruoti Lietuvoje",2011-04-15,ADVOKTŲ PASLAUGOS
Notarinė,,ONUTĖ SCHWARZ,,Deklaruojantysis,Paskola (gauta),EVALDAS JURKEVIČIUS,70000,"Fiziniai asmenys, registruoti Lietuvoje",2011-05-13,KREDITAS
Notarinė,,"""SWEDBANK"", AB",112029651,Deklaruojantysis,Paskola (gauta),EVALDAS JURKEVIČIUS,100000,"Juridiniai asmenys, registruoti Lietuvoje",2005-01-26,KREDITAS
Notarinė,,"UAB ""CTLF""",302522384,Deklaruojantysis ir sutuoktinis,Pirkimas,ALGIS KAZULĖNAS,105210,"Juridiniai asmenys, registruoti Lietuvoje",2011-10-11,PINIGAI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis ir sutuoktinis,Paskola (gauta),ALGIS KAZULĖNAS,105210,"Juridiniai asmenys, registruoti Lietuvoje",2011-10-11,PINIGAI
Notarinė,2012-12-29,AGNĖ STRELČIŪNAITE,,Deklaruojantysis,Teikiama dovana,ALGIS STRELČIŪNAS,829610,"Fiziniai asmenys, registruoti Lietuvoje",2011-12-29,"GYVENAMASIS NAMAS,ŽEMĖS SKLYPAS, GARAŽAS"
Rašytinė,2012-06-11,"UAB ""DOTNUVOS PROJEKTAI""",261415970,Deklaruojantysis,Pirkimas,VILHELMINAS JANUŠONIS,814330,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-13,PIRKTAS JAVŲ KOMBAINAS
Rašytinė,,EVALDAS JANUŠONIS,,Deklaruojantysis,Paskola (gauta),VILHELMINAS JANUŠONIS,200000,"Fiziniai asmenys, registruoti Lietuvoje",2012-05-02,PASKOLINTI PINIGAI
Žodinė,2012-05-22,VOKIETIJA,,Sutuoktinis,Pirkimas,EDITA GUDIŠAUSKIENĖ,20000,"Fiziniai asmenys, registruoti Lietuvoje",2012-05-22,AUTOMOBILIS
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Paskola (gauta),VILHELMINAS JANUŠONIS,500000,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-11,PASKOLA ŪKININKO ŪKIUI
Rašytinė,2016-06-07,GRINAIČIŲ ŽŪB,,Deklaruojantysis,Nuoma,VILHELM HAASE,4420,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-07,METINĖ NUOM
Rašytinė,2014-05-01,GRINAIČIŲ ŽŪB,,Deklaruojantysis,Nuoma,VILHELM HAASE,100,"Juridiniai asmenys, registruoti Lietuvoje",2009-05-01,METINĖ NUOMA
Rašytinė,2012-12-29,KUBILIŲ ŽŪB,174286581,Deklaruojantysis,Nuoma,VILHELM HAASE,5000,"Juridiniai asmenys, registruoti Lietuvoje",2004-12-29,METINĖ NUOMA
Notarinė,,ŽEMĖS ŪKIO TECHNIKA,111750538,Deklaruojantysis,Pirkimas,EGIDIJUS ČERNIUS,700000,"Juridiniai asmenys, registruoti Lietuvoje",2011-04-05,KOMBAINAS
Rašytinė,2016-06-07,GRINAIČIŲ ŽŪB,,Deklaruojantysis ir sutuoktinis,Nuoma,VILHELM HAASE,448,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-07,METINĖ NUOMA
Rašytinė,2016-06-07,GRINAIČIŲ ŽŪB,,Deklaruojantysis ir sutuoktinis,Nuoma,VILHELM HAASE,80,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-07,METINĖ NUOMA
Rašytinė,,PRODUKCIJA,148030011,Deklaruojantysis,Pardavimas,EGIDIJUS ČERNIUS,300000,"Juridiniai asmenys, registruoti Lietuvoje",2011-01-13,ŽEMĖS ŪKIO PRODUKCIJA
Rašytinė,,PRODUKCIJA,300118763,Deklaruojantysis,Pardavimas,EGIDIJUS ČERNIUS,400000,"Juridiniai asmenys, registruoti Lietuvoje",2012-09-11,ŽEMĖS ŪKIO PRODUKCIJA
Notarinė,2011-10-17,PRANAS VYČAS,,Deklaruojantysis,Pardavimas,POVILAS BALČIŪNAS,380000,"Fiziniai asmenys, registruoti Lietuvoje",2011-10-17,PASTATŲ PARDAVIMAS
Rašytinė,,"AB ""SWEDBANK""",,Deklaruojantysis,Paskola (gauta),PRANAS ŽEIMYS,32677,"Juridiniai asmenys, registruoti Lietuvoje",2011-04-08,PASKOLA BŪSTO REMONTUI
Rašytinė,2011-11-20,AUTOMOBILIS LIZINGO SUTARTIS,,Deklaruojantysis,Išsimokėtinas pirkimas,BIRUTĖ KAŽEMĖKAITĖ,35000,"Juridiniai asmenys, registruoti Lietuvoje",2008-11-20,AUTOMOBILIS
Rašytinė,,AKCINĖ BENDROVĖ BANKAS SNORAS,112025973,Deklaruojantysis,Paskola (gauta),GEDIMINAS KRASAUSKAS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2008-12-04,PINIGAI
Notarinė,2012-12-21,IRMA KAŠĖTIENĖ,,Deklaruojantysis ir sutuoktinis,Pirkimas,GEDIMINAS KRASAUSKAS,10074,"Fiziniai asmenys, registruoti Lietuvoje",2012-12-21,ŽEMĖS SKLYPAS
Notarinė,2012-12-21,JONAS DANILEVIČIUS,,Deklaruojantysis ir sutuoktinis,Pirkimas,GEDIMINAS KRASAUSKAS,10074,"Fiziniai asmenys, registruoti Lietuvoje",2012-12-21,PIRKIMO SUTARTIES OBJEKTAS - ŽEMĖ
Rašytinė,,CARSTENSEN DIRK,,Deklaruojantysis,Pirkimas,VAIDOTAS BACEVIČIUS,10005,Užsienio fiziniai ir juridiniai asmenys (neregistruoti Lietuvoje),2012-08-11,A/M PIRKIMAS
Rašytinė,,SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),VAIDOTAS BACEVIČIUS,350589,"Juridiniai asmenys, registruoti Lietuvoje",2008-02-12,PASKOLA BŪSTUI
Rašytinė,,SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),VAIDOTAS BACEVIČIUS,224817,"Juridiniai asmenys, registruoti Lietuvoje",2008-02-12,PASKOLA BŪSTUI
Rašytinė,,"UAB ""VITEDIS IR KO""",135818830,Deklaruojantysis,Pirkimas,VAIDOTAS BACEVIČIUS,12100,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-05,A/M PIRKIMAS
Rašytinė,,AB AUTOŪKIS,121494966,Deklaruojantysis,Nuoma,LIUDVIKAS SABUTIS,99950,"Juridiniai asmenys, registruoti Lietuvoje",2009-01-29,AUTOMOBILIO AUDI 4 TĘSTINĖ NUOMA
Rašytinė,2012-08-19,"""SWEDBANK"", AB",112029651,Deklaruojantysis,Indėlis,LIUDVIKAS SABUTIS,44643,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-19,TERMINUOTAS  INDĖLIS
Rašytinė,,"SEB LIZINGAS, AB",123051535,Deklaruojantysis,Išsimokėtinas pirkimas,DANUTĖ BEKINTIENĖ,75000,"Juridiniai asmenys, registruoti Lietuvoje",2008-11-13,AUTOMOBILIS
Rašytinė,2012-09-12,"""SWEDBANK"", AB",112029651,Deklaruojantysis,Indėlis,LIUDVIKAS SABUTIS,25000,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-12,TERMINUOTAS INDĖLIS
Rašytinė,2012-08-19,"""SWEDBANK"",AB",112029651,Deklaruojantysis,Indėlis,LIUDVIKAS SABUTIS,80000,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-19,TAUPOMASIS INDĖLIS
Rašytinė,,"UAB ""JUSTICIJA""",300030352,Deklaruojantysis,Paskola (suteikta),VAIDAS ŠALAŠEVIČIUS,26380,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-31,PASKOLOS SUTARTIS
Rašytinė,2012-08-19,"""SWEDBANK"",AB",112029651,Sutuoktinis,Indėlis,LIUDVIKAS SABUTIS,100000,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-19,TERMINUOTAS INDĖLIS
Rašytinė,2012-06-12,EGLUTĖ DIMAVIČIENĖ,,Deklaruojantysis ir sutuoktinis,Teikiama dovana,LIUDVIKAS SABUTIS,30100,"Fiziniai asmenys, registruoti Lietuvoje",2011-09-01,DUKRAI E. DIMAVIČIENEI BUTO REM. DOVANOTI PINIGAI PER KELETĄ KARTŲ.
Rašytinė,,"UAB ""PZU GYVYBĖS DRAUDIMAS""",,Deklaruojantysis,Draudimas,VIDAS URBONAVIČIUS,350000,"Juridiniai asmenys, registruoti Lietuvoje",2011-05-27,GYVYBĖS DRAUDIMAS
Rašytinė,,NORDEA PLC,,Deklaruojantysis ir sutuoktinis,Paskola (gauta),VIDAS URBONAVIČIUS,355000,"Juridiniai asmenys, registruoti Lietuvoje",2008-04-12,PASKOLA BUTUI PPIRKTI
Rašytinė,,"UAB ""NORDEA FINANCE LITHUANIA""",,Deklaruojantysis,Išsimokėtinas pirkimas,ŽILVINAS LELEIVA,65904,"Juridiniai asmenys, registruoti Lietuvoje",2007-09-14,AUTOMOBILIO LIZINGAS
Rašytinė,,NACIONALINĖ MOKĖLIMO AGENTŪRA,,Deklaruojantysis,"Parama, labdara, auka",ŽILVINAS LELEIVA,32722,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-24,PARAMA IŠ NMA KPP PROGRAMOJE
Notarinė,,V. GRIŠČENKO,,Deklaruojantysis ir sutuoktinis,Pirkimas,ŽILVINAS LELEIVA,70000,"Fiziniai asmenys, registruoti Lietuvoje",2010-06-11,BUTO PIRKIMAS
Rašytinė,,ALGIMANTAS PAULIONIS,,Deklaruojantysis ir sutuoktinis,Paslauga,ŽILVINAS LELEIVA,17700,"Fiziniai asmenys, registruoti Lietuvoje",2012-02-13,ATLIKO DARBUS PAGAL SUTARTĮ VYKDANT NMA PROJEKTĄ
Rašytinė,,"A. ŽIUKO ĮMONĖ, IĮ",167573296,Deklaruojantysis ir sutuoktinis,Paslauga,ŽILVINAS LELEIVA,10164,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-26,ATLIKO DARBUS PAGAL SUTARTĮ VYKDANT NMA PROJEKTĄ
Rašytinė,,AB SEB BANKAS,,Deklaruojantysis ir sutuoktinis,Paskola (gauta),ŽILVINAS LELEIVA,56000,"Juridiniai asmenys, registruoti Lietuvoje",2010-06-17,PASKOLA BUSTUI PIRKTI
Rašytinė,,AB DNB NORD BANKAS,,Deklaruojantysis ir sutuoktinis,Paskola (gauta),ŽILVINAS LELEIVA,40000,"Juridiniai asmenys, registruoti Lietuvoje",2011-03-08,VARTOJAMOJI PASKOLA
Rašytinė,,UAB ARX,110514951,Deklaruojantysis,Pirkimas,LAURYNAS KASČIŪNAS,38000,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-31,LENGVOJO AUTOMOBILIO PIRKIMAS
Rašytinė,,AB BANKAS DNB,112029270,Deklaruojantysis,Paskola (gauta),JONAS GUDAUSKAS,15000,"Juridiniai asmenys, registruoti Lietuvoje",2008-12-03,GAUTA PASKOLA
Rašytinė,,AB SWEDBANK,112029651,Sutuoktinis,Paskola (gauta),JONAS GUDAUSKAS,120000,"Juridiniai asmenys, registruoti Lietuvoje",2002-05-31,GAUTA PASKOLA
Rašytinė,,AB SEB BANKAS,,Deklaruojantysis ir sutuoktinis,Paskola (gauta),ŽILVINAS LELEIVA,15000,"Juridiniai asmenys, registruoti Lietuvoje",2010-07-21,VARTOJAMOJI PASKOLA
Rašytinė,,UAB SWEDBANK,112029651,Deklaruojantysis,Paskola (gauta),LAURYNAS KASČIŪNAS,357000,"Juridiniai asmenys, registruoti Lietuvoje",2007-11-29,BŪSTO PASKOLA
Rašytinė,2012-08-18,AB SWEDBANK,112029651,Deklaruojantysis,Indėlis,LAURYNAS KASČIŪNAS,43447,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-23,INDĖLIS
Rašytinė,,AB SWEDBANKAS,112029651,Sutuoktinis,Paskola (gauta),JONAS GUDAUSKAS,165000,"Juridiniai asmenys, registruoti Lietuvoje",2008-01-25,GAUTA PASKOLA
Rašytinė,,ŠILALĖS KREDITO UNIJA,112046953,Sutuoktinis,Paskola (gauta),JONAS GUDAUSKAS,35200,"Juridiniai asmenys, registruoti Lietuvoje",2011-02-24,GAUTA PASKOLA
Notarinė,2012-02-23,LIUDVIKA MARIJA IR DANIELIUS PERINSKAS,,Sutuoktinis,"Gauta dovana (išskyrus artimų asmenų dovanas), jeigu jos vertė didesnė negu 500 Lt",EDMUNDAS PUPINIS,110000,"Fiziniai asmenys, registruoti Lietuvoje",2012-02-23,DOVANA PINIGAIS
Rašytinė,,UAB CITADELE FAKTORINGAS IR LIZINGAS,126233315,Deklaruojantysis,Išsimokėtinas pirkimas,VITAS MATUZAS,140000,"Juridiniai asmenys, registruoti Lietuvoje",2006-07-29,AUTOMOBILIS FIAT DUCATO
Rašytinė,,ŠILALĖS KREDITO UNIJA,112046953,Sutuoktinis,Paskola (gauta),JONAS GUDAUSKAS,30000,"Juridiniai asmenys, registruoti Lietuvoje",2011-12-23,GAUTA PASKOLA
Notarinė,,VYTAUTAS MATUZAS,,Deklaruojantysis,Teikiama dovana,VITAS MATUZAS,15000,"Fiziniai asmenys, registruoti Lietuvoje",2012-08-26,1/2 SODO ŽEMĖS SKLYPO IR SODO PASTATO SU ŪKIO PASTATAIS
Rašytinė,,UAB SWEDBANK LIZINGAS,111568069,Deklaruojantysis,Nuoma,VITAS MATUZAS,106000,"Juridiniai asmenys, registruoti Lietuvoje",2009-03-28,AUTOMOBILIS AUDI A6
Notarinė,,VYTAUTAS MATUZAS,,Sutuoktinis,Teikiama dovana,VITAS MATUZAS,15000,"Fiziniai asmenys, registruoti Lietuvoje",2012-08-26,1/2 SODO ŽEMĖS SKLYPO IR SODO PASTATO SU ŪKIO PASTATAIS
Rašytinė,,AB SEB BANKAS,112021238,Sutuoktinis,Paskola (gauta),VITAS MATUZAS,277367,"Juridiniai asmenys, registruoti Lietuvoje",2005-08-11,KREDITAS ĮKEIČIANT NEKILNOJANĄJĮ TURTĄ ŠEIMOS POREIKIŲ TENKINIMUI
Rašytinė,2012-11-15,UAB HANSA LIZINGAS,111568069,Deklaruojantysis,Išsimokėtinas pirkimas,VINCĖ VAIDEVUTĖ MARGEVIČIENĖ,49000,"Juridiniai asmenys, registruoti Lietuvoje",2009-01-29,AUTOMOBILIS
Rašytinė,,UAB DISTENAS,147036253,Sutuoktinis,Paskola (suteikta),VITAS MATUZAS,10200,"Juridiniai asmenys, registruoti Lietuvoje",2008-12-11,SUTEIKTA PASKOLA
Rašytinė,2014-06-15,SWEDBANKAS,112029651,Deklaruojantysis,Paskola (gauta),VINCĖ VAIDEVUTĖ MARGEVIČIENĖ,25000,"Juridiniai asmenys, registruoti Lietuvoje",2009-02-10,PASKOLA
Notarinė,,SEB,112021238,Deklaruojantysis ir sutuoktinis,Paskola (gauta),EGIDIJUS VAREIKIS,364000,"Juridiniai asmenys, registruoti Lietuvoje",2002-12-12,"BUSTO PASKOLA, PINIGAI"
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),ROKAS ŽILINSKAS,384773,"Juridiniai asmenys, registruoti Lietuvoje",2002-08-07,PINIGINĖ PASKOLA ŽEMĖS SKLYPUI IR BŪSTUI ĮSIGYTI IR ĮSIRENGTI
Rašytinė,,MINDAUGAS KULBIS,,Deklaruojantysis,Paskola (suteikta),ROKAS ŽILINSKAS,30000,"Fiziniai asmenys, registruoti Lietuvoje",2006-10-06,PINIGINĖ PASKOLA
Rašytinė,,"UAB ""SEB GYVYBĖS DRAUDIMAS""",110076645,Deklaruojantysis,Draudimas,ROKAS ŽILINSKAS,150000,"Juridiniai asmenys, registruoti Lietuvoje",2000-12-19,INVESTICINIS GYVYBĖS IR KRITINIŲ LIGŲ DRAUDIMAS
Rašytinė,,"UADB ""ERGO LIETUVA""",110012799,Deklaruojantysis,Draudimas,ROKAS ŽILINSKAS,392000,"Juridiniai asmenys, registruoti Lietuvoje",2012-01-31,GYVENTOJŲ TURTO DRAUDIMAS
Rašytinė,,DNB NORD LIZINGAS,124385737,Deklaruojantysis,Išsimokėtinas pirkimas,VALENTINAS STUNDYS,56850,"Juridiniai asmenys, registruoti Lietuvoje",2008-12-15,AUTOMOBILIS
Kita,,KŪNO KULTŪROS IR SPORTO DEPARTAMENTAS PRIE LR VYRIAUSYBĖS,,Deklaruojantysis,Renta,SERGEJUS JOVAIŠA,2480,"Juridiniai asmenys, registruoti Lietuvoje",2009-01-01,RENTA
Notarinė,,JADZE JANKAUSKIENE,,Deklaruojantysis,"Gauta dovana (išskyrus artimų asmenų dovanas), jeigu jos vertė didesnė negu 500 Lt",DONATAS JANKAUSKAS,6084,"Fiziniai asmenys, registruoti Lietuvoje",2012-08-14,ZEMES SKLYPO DALIES DOVANOJIMO SUTARTIS
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),DONATAS JANKAUSKAS,60000,"Juridiniai asmenys, registruoti Lietuvoje",2003-07-28,BANKO PASKOLA BUSTO REMONTUI
Rašytinė,2012-09-30,"UAB ""KRASTA AUTO""",121981098,Deklaruojantysis,Išsimokėtinas pirkimas,VIDA MARIJA ČIGRIEJIENĖ,115115,"Juridiniai asmenys, registruoti Lietuvoje",2009-03-30,AUTOMOBILIO NUOMOS SUTARTIS
Kita,,BANKAS NORDEA,,Deklaruojantysis,Paskola (gauta),LIUTAURAS KAZLAVICKAS,157000,"Juridiniai asmenys, registruoti Lietuvoje",2010-05-13,PASKOLA BŪSTUI
Kita,2012-03-08,KOSTAS JANKAUSKAS,,Deklaruojantysis,"Gauta dovana (išskyrus artimų asmenų dovanas), jeigu jos vertė didesnė negu 500 Lt",ARVYDAS VIDŽIŪNAS,1000,"Fiziniai asmenys, registruoti Lietuvoje",2012-03-08,PAMINKLO KALBAI IR TAUTAI KOPIJA. DOVANA GIMTADIENIO PROGA
Notarinė,,MANTAS IŽGANAITIS,,Deklaruojantysis,Paskola (suteikta),ARVYDAS VIDŽIŪNAS,50000,"Fiziniai asmenys, registruoti Lietuvoje",2009-12-11,PASKOLA
Notarinė,2012-06-04,KREIVIENĖ FLORENTINA,,Deklaruojantysis,"Gauta dovana (išskyrus artimų asmenų dovanas), jeigu jos vertė didesnė negu 500 Lt",DAINIUS KREIVYS,400000,"Fiziniai asmenys, registruoti Lietuvoje",2012-06-04,"UAB ""CATUS"" AKCIJOS"
Notarinė,2012-04-25,GALINA GORELOVA,,Deklaruojantysis,Pirkimas,PAULIUS SAUDARGAS,320000,"Fiziniai asmenys, registruoti Lietuvoje",2012-04-25,NEKILNOJAMOJO TURTO PIRKIMAS
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),PAULIUS SAUDARGAS,342000,"Juridiniai asmenys, registruoti Lietuvoje",2007-03-20,PASKOLA
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),PAULIUS SAUDARGAS,272000,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-19,PASKOLA
Žodinė,2011-09-19,ALGIRDAS SAUDARGAS,,Deklaruojantysis,Kiti sandoriai,PAULIUS SAUDARGAS,50000,"Fiziniai asmenys, registruoti Lietuvoje",2011-09-19,DOVANA
Žodinė,2012-03-12,ALGIRDAS SAUDARGAS,,Deklaruojantysis,Kiti sandoriai,PAULIUS SAUDARGAS,86000,"Fiziniai asmenys, registruoti Lietuvoje",2012-03-12,DOVANA
Notarinė,,SAULIUS MASIULIS,,Deklaruojantysis ir sutuoktinis,Teikiama dovana,KĘSTUTIS MASIULIS,105000,"Fiziniai asmenys, registruoti Lietuvoje",2012-06-14,TĖVAI DOVANOJA SAVO VAIKAMS ŽEMĖS SKLYPĄ VILNIUJE
Rašytinė,,SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),ARVYDAS ANUŠAUSKAS,350000,"Juridiniai asmenys, registruoti Lietuvoje",2007-12-27,BŪSTO KREDITAS
Rašytinė,,AB SEB BANKAS,,Deklaruojantysis,Paskola (gauta),EMANUELIS ZINGERIS,25000,"Juridiniai asmenys, registruoti Lietuvoje",2011-10-07,PASKOLA
Rašytinė,,111959573,,Deklaruojantysis,Paskola (gauta),EMANUELIS ZINGERIS,5000,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-20,PASKOLA
Notarinė,,LIEPA MASIULYTĖ,,Deklaruojantysis ir sutuoktinis,Teikiama dovana,KĘSTUTIS MASIULIS,105000,"Fiziniai asmenys, registruoti Lietuvoje",2012-06-14,"TĖVAI DOVANOJA SAVO VAIKAMS ŽEMĖS SKLYPĄ VILNIUJE,"
Rašytinė,,DNB NORD,112029270,Deklaruojantysis,Paskola (gauta),ARVYDAS ANUŠAUSKAS,22000,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-10,VARTOJAMOJI PASKOLA
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Indėlis,VYTAUTAS JUOZAPAITIS,27000,"Juridiniai asmenys, registruoti Lietuvoje",2011-11-10,PINIGAI
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis ir sutuoktinis,Paskola (gauta),VYTAUTAS JUOZAPAITIS,426566,"Juridiniai asmenys, registruoti Lietuvoje",2010-10-07,PINIGAI
Rašytinė,,AB LCVPD,110059343,Sutuoktinis,Vertybinių popierių sandoriai,IRENA DEGUTIENĖ,109912,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-28,NUPIRKTI LR VERTYBINIAI POPIERIAI
Rašytinė,,UAB ERGO LIETUVA,110012799,Sutuoktinis,Draudimas,IRENA DEGUTIENĖ,385000,"Juridiniai asmenys, registruoti Lietuvoje",2012-08-08,PASTATŲ IR TURTO DRAUDIMAS
Rašytinė,,UAB NT BALTIJA,226212140,Deklaruojantysis ir sutuoktinis,Paskola (suteikta),IRENA DEGUTIENĖ,160000,"Juridiniai asmenys, registruoti Lietuvoje",2011-11-22,SUTEIKTA PASKOLA
Rašytinė,,"AB  ""LIETUVOS DRAUDIMAS""",110051834,Deklaruojantysis,Draudimas,RASA JUKNEVIČIENĖ,89500,"Juridiniai asmenys, registruoti Lietuvoje",2012-01-13,AUTOMOBILIO DRAUDIMAS
Notarinė,,SWEDBANK,112029651,Deklaruojantysis,Paskola (gauta),AGNĖ BILOTAITĖ,600000,"Juridiniai asmenys, registruoti Lietuvoje",2007-05-10,PASKOLA GYVENAMOJO NAMO STATYBAI IR APDAILAI
Rašytinė,,UAB CALVATIS,110836710,Deklaruojantysis ir sutuoktinis,Paskola (suteikta),IRENA DEGUTIENĖ,230000,"Juridiniai asmenys, registruoti Lietuvoje",2010-09-20,SUTEIKTA PASKOLA
Rašytinė,,AB SEB BANKAS,112021238,Sutuoktinis,Išsimokėtinas pirkimas,RASA JUKNEVIČIENĖ,81790,"Juridiniai asmenys, registruoti Lietuvoje",2008-03-26,AUTOMOBILIOS LIZINGAS
Rašytinė,,"AB  ""LIETUVOS DRAUDIMAS""",110051834,Sutuoktinis,Draudimas,RASA JUKNEVIČIENĖ,81790,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-28,AUTOMOBILIO DRAUDIMAS
Notarinė,,UAB VEIKMĖ,121327675,Deklaruojantysis,Pirkimas,JURGIS RAZMA,258000,"Juridiniai asmenys, registruoti Lietuvoje",2009-08-24,BUTO PIRKIMAS
Rašytinė,,UAB RAITAS,121524847,Deklaruojantysis,Nuoma,JURGIS RAZMA,90770,"Juridiniai asmenys, registruoti Lietuvoje",2009-03-20,AUTOMOBILIO NISSAN QASHQAI NUOMA PARLAMENTINEI VEIKLAI
Rašytinė,,NORDEA BANK FINLAND PLC LIETUVOS SKYRIUS,112025592,Deklaruojantysis,Paskola (gauta),JURGIS RAZMA,260000,"Juridiniai asmenys, registruoti Lietuvoje",2009-09-02,PINIGINĖ PASKOLA BŪSTO KREDITAVIMUI
Rašytinė,,SWEDBANK LIFE INSURANCE SE LIETUVOS FILIALAS,302458056,Deklaruojantysis,Draudimas,JURGIS RAZMA,60000,"Juridiniai asmenys, registruoti Lietuvoje",2002-12-01,INVESTICINIS GYVYBĖS DRAUDIMAS
Rašytinė,,AB SWEDBANK,112029651,Sutuoktinis,Paskola (gauta),JURGIS RAZMA,30000,"Juridiniai asmenys, registruoti Lietuvoje",2008-08-02,PINIGINĖ VARTOJIMO PASKOLA
Rašytinė,,AB SEB BANKAS,112021238,Sutuoktinis,Paskola (gauta),AUDRĖ PREIKŠAITIENĖ,15510,"Juridiniai asmenys, registruoti Lietuvoje",2010-10-20,PINIGAI
Rašytinė,,JUOZAS KATINAS,,Deklaruojantysis,Paskola (gauta),DŽENETA TOLIŠAUSKIENĖ,250000,"Fiziniai asmenys, registruoti Lietuvoje",2011-12-12,GAUTA PASKOLA
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis,Paskola (gauta),MANFREDAS ŽYMANTAS,250000,"Juridiniai asmenys, registruoti Lietuvoje",2010-05-04,GAUTA PASKOLA
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis ir sutuoktinis,Paskola (gauta),MANFREDAS ŽYMANTAS,160000,"Juridiniai asmenys, registruoti Lietuvoje",2011-02-01,GAUTA PASKOLA
Rašytinė,2016-05-01,SWEDBANK AB,,Deklaruojantysis,Paskola (gauta),RIMAS BERTAŠIUS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-20,GAUTA VARTOJIMO PASKOLA
Notarinė,,JUSTINAS MASALSKAS,,Deklaruojantysis,Pardavimas,KASTYTIS MASALSKAS,550000,"Fiziniai asmenys, registruoti Lietuvoje",2009-06-16,NT PARDAVIMO SANDORIS
Notarinė,2012-04-13,AUŠRA BUOŽYTĖ,,Deklaruojantysis,Išsimokėtinas pardavimas,KASTYTIS MASALSKAS,1170000,"Fiziniai asmenys, registruoti Lietuvoje",2009-06-06,NT PARDAVIMO SANDORIS
Rašytinė,2012-05-09,UAB ETB LEGAL,185612772,Deklaruojantysis,Vertybinių popierių sandoriai,KASTYTIS MASALSKAS,10008,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-09,AKCIJŲ PIRKIMAS
